rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
194;Lily-Rose Depp;19.0;63.0;0;1;0;0;0;Tusk|Yoga Hosers|The Dancer;Lily-Rose Melody Depp|Lily
195;Zooey Deschanel;38.0;65.0;0;1;0;1;0;New Girl|500 Days of Summer|The Hitchhiker's Guide to the Galaxy;She & Him|Zo|Zuzu
196;Kate Walsh;50.0;68.5;0;1;0;1;0;The Perks of Being a Wallflower|Grey's Anatomy|Legion;Katie|Katiekat|K-Town
197;Angela Sarafyan;34.0;68.0;0;1;0;1;0;Westworld;
198;Mila Kunis;34.0;64.0;0;1;0;1;0;Black Swan|Jupiter Ascending|Bad Moms;Mila Kunas|Goldfish
199;Devin Druid;;72.0;1;0;0;0;0;Louder Than Bombs|Imperium|13 Reasons Why;Devin McKenzie Druid
200;Christian Bale;44.0;72.25;1;0;0;1;0;The Dark Knight|Batman Begins|American Hustle;
201;Amber Heard;32.0;67.0;0;1;0;1;0;The Rum Diary|Machete Kills|3 Days to Kill;
202;Carla Gugino;46.0;65.0;0;1;0;1;0;Watchmen|Gerald's Game|San Andreas;Taryn Gugino
203;Zoey Deutch;23.0;64.0;0;1;0;1;0;Before I Fall|Everybody Wants Some!!|Why Him?;
204;Shioli Kutsuna;25.0;62.0;0;1;0;0;0;Deadpool 2|The Outsider|My Back Pages;Shiori Kutsuna
205;Stephanie Beatriz;;66.0;0;1;0;1;0;Short Term 12|Brooklyn Nine-Nine|Ice Age: Collision Course;Steph
206;Jennifer Ellison;35.0;65.75;0;1;0;0;0;The Phantom of the Opera|The Cottage|Hotel Babylon;Jen
207;Charlie Hunnam;38.0;72.0;1;0;0;1;1;Sons of Anarchy|Pacific Rim|King Arthur: Legend of the Sword;Charlie
208;Jon Favreau;51.0;73.0;1;0;1;1;0;Chef|Swingers|Iron Man;John Favreau|Favs|Mark Johnstan
209;Alicia Silverstone;41.0;65.0;0;1;0;1;0;Clueless|Batman & Robin|Blast from the Past;Queen Slice
210;Amanda Abbington;44.0;64.0;0;1;0;0;0;Sherlock|Swinging with the Finkels|Mr Selfridge;
211;Sara Gilbert;43.0;62.0;0;1;0;1;0;Roseanne|Poison Ivy|Sudie and Simpson;Sara Abeles
212;Gabriel Macht;46.0;72.0;1;0;1;1;0;The Good Shepherd|The Recruit|Because I Said So;Gabriel Swann
213;Millie Bobby Brown;14.0;64.0;0;1;0;1;0;Stranger Things|NCIS|Godzilla: King of the Monsters;Millie Brown|Millster
214;Ellie Kemper;38.0;65.0;0;1;0;0;0;Bridesmaids|21 Jump Street|Unbreakable Kimmy Schmidt;
215;Joel Edgerton;43.0;71.0;1;0;0;1;1;The Gift|The Great Gatsby|Loving;
216;Denzel Washington;63.0;73.0;1;0;1;1;0;Fences|The Book of Eli|Training Day;D
217;Steve Martin;72.0;72.0;1;0;0;0;1;Roxanne|L.A. Story|The Jerk;Pig Eye Jackson also
218;Matt Damon;47.0;70.0;1;0;0;1;0;Good Will Hunting|The Martian|The Departed;Dickie Greenleaf
219;Sandra Bullock;53.0;67.5;0;1;0;1;0;Miss Congeniality|The Proposal|Gravity;Sandy|America's Sweetheart|The Girl Next Door
220;Toni Collette;45.0;68.0;0;1;0;1;0;Little Miss Sunshine|About a Boy|The Sixth Sense;
