rank;name;age;height;Actor;Actress;Director;Producer;Writer;titles;aliases
665;Heidi Klum;45.0;69.5;0;1;0;1;1;Project Runway|Ella Enchanted|Zoolander;Heidi Samuel|The Body
666;Frank Doubleday;;;1;0;0;0;0;Escape from New York|Assault on Precinct 13|Space Rage;
667;Elisha Cuthbert;35.0;62.5;0;1;1;1;0;The Girl Next Door|24|House of Wax;Leesh
668;Imogen Poots;29.0;64.5;0;1;0;0;0;Green Room|28 Weeks Later|That Awkward Moment;Imi|Imo
669;Wes Anderson;49.0;73.0;0;0;1;1;1;Fantastic Mr. Fox|Moonrise Kingdom|The Royal Tenenbaums;
670;Matt Bomer;40.0;71.5;1;0;0;1;0;The Normal Heart|In Time|Magic Mike XXL;Matthew S. Bomer|Matthew Bomer
671;Emily Beecham;;65.5;0;1;0;0;0;Hail, Caesar!|Into the Badlands|The Thirteenth Tale;
672;Rona-Lee Shim'on;;69.0;0;1;0;0;0;A Quiet Heart|Policeman|Leak;Rona Lee|Rona-Lee
673;Wilson Cruz;44.0;68.5;1;0;0;1;0;My So-Called Life|Star Trek: Discovery|13 Reasons Why;
674;Rachel Keller;25.0;;0;1;0;0;0;Fargo|Legion;
675;Wallis Day;23.0;68.75;0;1;0;0;0;Krypton|Will|The Royals;
676;Sarah Hyland;27.0;62.0;0;1;0;1;0;Vampire Academy|Modern Family|See You in Valhalla;Sarah Jane Hyland|SJ|Kitty
677;Carrie-Anne Moss;50.0;68.5;0;1;0;1;0;The Matrix|Memento|Matrix Revolutions;Carrie Anne Moss|Carrie Ann Moss|Carrie-Ann Moss
678;Matthew Goode;40.0;74.0;1;0;0;0;0;Stoker|Watchmen|The Imitation Game;Goodey
679;Lucy Hale;;62.0;0;1;0;1;0;Scream 4|Pretty Little Liars|Truth or Dare;Lucy Kate Hale
680;Peyton List;31.0;67.0;0;1;0;0;0;The Tomorrow People|As the World Turns|Gotham;
681;Madison Iseman;21.0;62.0;0;1;0;0;0;Jumanji: Welcome to the Jungle|Still the King|Laid in America;
682;Kurt Russell;67.0;71.0;1;0;0;1;1;The Hateful Eight|Escape from L.A.|Tango & Cash;
683;Erica Durance;39.0;67.0;0;1;0;1;0;House of the Dead|Saving Hope|Smallville;Erica Parker
684;Channing Tatum;;73.0;1;0;0;1;0;21 Jump Street|White House Down|22 Jump Street;Chan
685;Julianne Hough;29.0;63.0;0;1;0;1;0;Rock of Ages|Safe Haven|Footloose;Julianne|Jules
686;Nicholas Hoult;28.0;74.75;1;0;0;0;0;Mad Max: Fury Road|About a Boy|Warm Bodies;Nick
687;Balthazar Getty;43.0;72.0;1;0;0;1;0;Lord of the Flies|Feast|Young Guns II;Balty
688;Mark Pellegrino;53.0;73.0;1;0;0;1;0;Mulholland Drive|The Big Lebowski|Supernatural;
689;Leslie Mann;46.0;66.5;0;1;0;0;0;Knocked Up|The Other Woman|This Is 40;
690;Sally Hawkins;42.0;62.0;0;1;0;1;1;The Shape of Water|Happy-Go-Lucky|Blue Jasmine;
691;Cameron Monaghan;;71.5;1;0;0;0;0;Gotham|Shameless|The Giver;
692;Andrew Garfield;34.0;70.5;1;0;0;1;0;The Social Network|Hacksaw Ridge|The Amazing Spider-Man;Andy
693;Alanis Morissette;44.0;64.0;0;1;0;0;0;Dogma|City of Angels|The Devil Wears Prada;Alanis Morrisette
694;Steve Howey;40.0;75.5;1;0;0;1;0;Bride Wars|Shameless|Something Borrowed;
695;Jaime King;;68.5;0;1;0;1;1;My Bloody Valentine|Sin City|Pearl Harbor;James King|Jamie King|Jaime King-Newman
696;Naomi Watts;49.0;64.5;0;1;0;1;0;Mulholland Drive|King Kong|Birdman or (The Unexpected Virtue of Ignorance);Queen of Remakes
697;Alan Cumming;53.0;70.0;1;0;0;1;0;The Anniversary Party|GoldenEye|Son of the Mask;Alan Cummings
698;Bryan Cranston;62.0;70.5;1;0;0;1;1;Breaking Bad|Malcolm in the Middle|Argo;Brian Cranston|Lee Stone|Phil Williams
699;Julie Benz;46.0;64.0;0;1;0;0;0;Dexter|Hawaii Five-0|Defiance;
700;Alexandra Shipp;;66.0;0;1;0;0;0;X-Men: Apocalypse|Straight Outta Compton|Love, Simon;Alex Shipp|Allie|Alex
701;Olga Kurylenko;38.0;69.0;0;1;0;0;1;Oblivion|Quantum of Solace|Hitman;Olha Kostiantynivna Kurylenko|Olga Kutylenko|Oruga Kyurirenko
702;Maisie Williams;21.0;61.0;0;1;0;1;0;Game of Thrones|The Falling|The Book of Love;
703;Stephen Amell;37.0;73.0;1;0;0;1;1;Arrow|Teenage Mutant Ninja Turtles: Out of the Shadows|ReGenesis;
704;Sam Worthington;41.0;70.0;1;0;1;1;0;Avatar|Terminator Salvation|Clash of the Titans;
705;David Krumholtz;40.0;67.0;1;0;0;1;1;The Deuce|Sausage Party|Slums of Beverly Hills;
706;Halston Sage;25.0;65.5;0;1;0;0;0;Scouts Guide to the Zombie Apocalypse|The First Time|Paper Towns;
707;Patrick Wilson;44.0;72.5;1;0;0;1;0;The Phantom of the Opera|Hard Candy|Insidious;
708;Ivana Milicevic;44.0;69.0;0;1;0;0;0;Just Like Heaven|Running Scared|Paycheck;Ivana Marina|Ivana Milavich
709;Cindy Sampson;;67.0;0;1;0;1;0;Supernatural|Private Eyes|The Shrine;
710;Jackie Chan;64.0;68.5;1;0;0;1;0;Jackie Chan's Who Am I?|Rush Hour 2|Rush Hour;Jacky Chan|Yuan Lung Chan|Yuen-Lung Chan
711;Marion Cotillard;42.0;66.75;0;1;1;0;0;La Vie en Rose|Inception|Two Days, One Night;Simone
712;Joseph Gordon-Levitt;37.0;69.5;1;0;0;1;0;Inception|Looper|Don Jon;Joey Gordon-Levitt|Joe Gordon-Levitt|Joseph Gordon Levitt
713;Alan Rickman;;73.0;1;0;0;0;1;Die Hard|Robin Hood: Prince of Thieves|Harry Potter and the Deathly Hallows: Part 2;
714;Jared Gilmore;18.0;65.0;1;0;0;0;0;Once Upon a Time|The Back-up Plan|Mad Men;Jared S. Gillmore|Jared S. Gilmore|Jared Scott Gilmore
715;Lindsay Lohan;31.0;65.0;0;1;0;1;0;Mean Girls|The Parent Trap|Freaky Friday;Lindsay Morgan Lohan|Linds|La Lohan
716;Tommy Wiseau;;68.0;1;0;1;0;1;The Room|Best F(r)iends: Volume One|Samurai Cop 2: Deadly Vengeance;
717;Kevin Spacey;58.0;70.25;1;0;0;1;0;The Usual Suspects|L.A. Confidential|Se7en;
718;Linnea Quigley;60.0;62.0;0;1;0;1;0;The Return of the Living Dead|Night of the Demons|Graduation Day;Jesse Dalton|Jessie Dalton|Barbara Gold
719;Jemaine Clement;44.0;73.0;1;0;0;0;1;Flight of the Conchords|What We Do in the Shadows|Men in Black 3;Vulvus the Abhorrent|J. Clement|Flight of the Conchords
720;Paula Patton;42.0;67.5;0;1;0;1;0;Precious|Mission: Impossible - Ghost Protocol|Deja Vu;
721;Catherine Bell;49.0;69.0;0;1;0;1;0;Bruce Almighty|The Triangle|Men of War;
722;Matt Lanter;35.0;70.0;1;0;0;0;0;Star Wars: The Clone Wars|Vampires Suck|Disaster Movie;Matt Lanter - grandson of deceased survivor Kenley Lanter|Matthew Lanter
723;Don Johnson;68.0;71.0;1;0;0;1;0;Miami Vice|Django Unchained|A Boy and His Dog;DJ|The Don
724;Ali Wong;36.0;63.0;0;1;0;0;1;Ali Wong: Baby Cobra|American Housewife|Black Box;
725;Damian Lewis;47.0;73.25;1;0;0;1;0;Band of Brothers|Dreamcatcher|Homeland;
726;Kathryn Newton;;65.0;0;1;0;0;0;Big Little Lies|Three Billboards Outside Ebbing, Missouri|Lady Bird;Kathryn Love Newton|Kat
727;Molly Ephraim;32.0;61.0;0;1;0;0;0;Paranormal Activity 2|Paranormal Activity: The Marked Ones|College Road Trip;
728;Alexander Ludwig;26.0;74.0;1;0;0;0;0;Vikings|The Hunger Games|Lone Survivor;Zander
729;Allison Janney;;72.0;0;1;0;0;0;The Help|The Hours|Juno;
730;Gillian Anderson;49.0;63.0;0;1;0;1;0;The X-Files|The Fall|The Last King of Scotland;
731;Barry Sloane;37.0;74.0;1;0;0;1;0;Six|Longmire|Noah;
732;Ariel Winter;20.0;61.0;0;1;0;0;0;Sofia the First|Mr. Peabody & Sherman|Kiss Kiss Bang Bang;
733;Tobias Menzies;44.0;73.0;1;0;0;0;0;Casino Royale|Rome|Atonement;
734;Hugh Grant;57.0;71.0;1;0;0;0;0;Love Actually|About a Boy|Four Weddings and a Funeral;Hughie Grant
735;Patrick Swayze;;71.0;1;0;0;1;0;Dirty Dancing|Road House|Point Break;Buddy
736;William Fichtner;61.0;72.5;1;0;1;1;0;Crash|Drive Angry|Armageddon;Bill Fichtner|Willian Fichtner|Bill
737;Amy James-Kelly;;64.0;0;1;0;0;0;Coronation Street|Jericho|Safe;Amy Kelly
738;Peter Dinklage;48.0;53.0;1;0;0;1;0;Game of Thrones|The Station Agent|X-Men: Days of Future Past;
739;Sherilyn Fenn;53.0;64.0;0;1;0;0;0;Of Mice and Men|Wild at Heart|The Wraith;Sherri
740;James Brolin;77.0;76.0;1;0;1;1;0;Traffic|The Amityville Horror|Westworld;Jim Brolin|James & Jane|Mr. Streisand
741;Angela Bassett;59.0;64.0;0;1;1;1;0;Strange Days|Olympus Has Fallen|What's Love Got to Do with It;
742;Thomas Jane;49.0;70.25;1;0;1;1;0;Deep Blue Sea|The Mist|The Thin Red Line;Thomas Bridgett|Tom Elliott|Tom Jane
743;Rupert Everett;59.0;76.0;1;0;0;1;0;My Best Friend's Wedding|An Ideal Husband|Cemetery Man;
744;Jessica Raine;36.0;66.0;0;1;0;0;0;Wolf Hall|Fortitude|Inside No. 9;Jess
745;Sarah Gadon;31.0;63.0;0;1;1;0;0;Enemy|Cosmopolis|Dracula Untold;
746;Sienna Miller;36.0;65.0;0;1;0;0;0;G.I. Joe: The Rise of Cobra|American Sniper|The Lost City of Z;Sienna Rose Miller|Sienna Rose
747;Liv Tyler;40.0;69.5;0;1;0;1;0;Armageddon|The Lord of the Rings: The Return of the King|The Lord of the Rings: The Fellowship of the Ring;Liv Rundgren|Liver|Livy
748;Gugu Mbatha-Raw;;64.0;0;1;0;0;0;Belle|Beyond the Lights|Concussion;Gugu Mbatha Raw
749;Jennifer Grey;58.0;63.0;0;1;0;0;0;Dirty Dancing|Ferris Bueller's Day Off|Red Dawn;Jenny Grey
750;Emily Hampshire;36.0;65.0;0;1;0;0;0;12 Monkeys|Schitt's Creek|Snow Cake;
751;Eddie Marsan;49.0;68.75;1;0;0;0;0;Happy-Go-Lucky|21 Grams|The World's End;Edward Marsan|Eddie Marson
752;Carrie Fisher;;61.0;0;1;0;0;1;Star Wars: Episode IV - A New Hope|Star Wars: Episode V - The Empire Strikes Back|Star Wars: Episode VI - Return of the Jedi;
753;Alex Wolff;20.0;72.0;1;0;0;0;0;Patriots Day|HairBrained|Coming Through the Rye;Naked Brothers Band|The Naked Brothers Band
754;Sara Rue;39.0;67.0;0;1;0;1;0;Pearl Harbor|A Slipping-Down Life|Can't Hardly Wait;Sue Rue
755;Jaime Murray;;67.0;0;1;0;0;0;The Deaths of Ian Stone|Dexter|Defiance;Jamie Murray
756;Will Arnett;48.0;74.5;1;0;0;1;1;Arrested Development|The Lego Batman Movie|The Lego Movie;
757;Jessica Alba;37.0;66.5;0;1;0;1;0;Fantastic Four|Sin City|Fantastic 4: Rise of the Silver Surfer;Dzhessika Alba|Jessica Marie Alba|Sky Angel
758;Wendi McLendon-Covey;;68.0;0;1;0;1;0;Bridesmaids|Blended|Cook Off!;Wendi McClendon-Covey|Wendi McLendon
759;Simon Pegg;48.0;70.0;1;0;0;1;1;Shaun of the Dead|The World's End|Hot Fuzz;The Cast|Dr. Russel Fell|The Fresh Pegg
760;Rebecca Hall;36.0;70.0;0;1;0;1;0;Vicky Cristina Barcelona|The Town|The Prestige;
761;Alexander Calvert;;69.5;1;0;0;0;0;The Edge of Seventeen|Supernatural|Arrow;
762;Natasha Richardson;;69.0;0;1;0;1;0;The Parent Trap|Asylum|Wild Child;Tasha
763;Jay Ryan;;73.0;1;0;0;1;0;Neighbours|Beauty and the Beast|Being Eve;Jay Bunyan|Bunners
764;Maria Bello;51.0;65.0;0;1;0;1;1;A History of Violence|Coyote Ugly|The Cooler;Mario Bello
765;David Leitch;;71.0;1;0;0;0;0;Atomic Blonde|The Bourne Ultimatum|John Wick;Dave Leitch|David M. Leitch
766;Jonathan Ke Quan;46.0;64.0;1;0;0;0;0;Indiana Jones and the Temple of Doom|The Goonies|X-Men;Huy Quan Ke|Ko-Wei Kuan|Jonathan Quan
767;Caitriona Balfe;;69.0;0;1;0;1;0;Escape Plan|Outlander|Money Monster;Caitriona|Cait
768;Ryan Phillippe;43.0;68.0;1;0;1;1;0;Crash|Gosford Park|Cruel Intentions;Ryan Phillipe|RP
769;Kristin Kreuk;35.0;64.0;0;1;0;1;0;EuroTrip|Smallville|Street Fighter: The Legend of Chun-Li;
770;Sofía Vergara;45.0;67.0;0;1;0;1;0;Hot Pursuit|Modern Family|The Three Stooges;Sofía|Sofia Vergara|La Toti
771;Jensen Ackles;40.0;73.25;1;0;1;0;0;Supernatural|My Bloody Valentine|Days of Our Lives;Jay|Jackles|Jesse
772;Heath Ledger;;73.0;1;0;1;0;0;Brokeback Mountain|The Dark Knight|A Knight's Tale;Heathcliff Andrew Ledger|Heathy
773;Daniel Wu;43.0;72.0;1;0;1;1;0;New Police Story|One Nite in Mongkok|Warcraft: The Beginning;Daniel Ng|Yin-Cho Ng|Yin-Jo Ng
774;Christine Baranski;66.0;68.5;0;1;0;1;0;Chicago|Mamma Mia!|Into the Woods;
775;Chloe Bennet;26.0;65.75;0;1;0;0;0;Agents of S.H.I.E.L.D.|Agents of S.H.I.E.L.D.: Slingshot|Valley Girl;Chloe Wang
776;Annette Bening;60.0;68.0;0;1;0;0;0;American Beauty|20th Century Women|The Kids Are All Right;A.B.
777;Vanessa Morgan;26.0;62.0;0;1;0;0;0;The Latest Buzz|My Babysitter's a Vampire|Finding Carter;Vanessa Morgan Mziray|Vanessa
778;Christine Taylor;46.0;66.0;0;1;0;0;0;Dodgeball: A True Underdog Story|The Wedding Singer|Zoolander;Christine Joan Taylor
779;Ezra Miller;25.0;71.0;1;0;0;0;0;The Perks of Being a Wallflower|We Need to Talk About Kevin|Justice League;
780;Thomas Brodie-Sangster;28.0;70.5;1;0;0;1;0;Maze Runner: The Scorch Trials|The Maze Runner|Love Actually;Thomas Brodie Sangster|Thomas Sangster
781;Alex Pettyfer;;71.5;1;0;1;1;0;I Am Number Four|Elvis & Nixon|In Time;
782;Drew Barrymore;43.0;64.0;0;1;0;1;0;Never Been Kissed|50 First Dates|Ever After: A Cinderella Story;D
783;Russell Crowe;54.0;71.5;1;0;0;1;0;Les Misérables|Gladiator|A Beautiful Mind;Rusty|Russ
784;C. Thomas Howell;51.0;70.25;1;0;1;1;0;The Outsiders|The Hitcher|E.T. the Extra-Terrestrial;C Thomas Howell|Tom Howell|C.T.
785;Piper Perabo;41.0;65.5;0;1;0;1;0;Coyote Ugly|Imagine Me & You|Cheaper by the Dozen 2;
786;Margot Kidder;;66.0;0;1;0;1;0;Superman|Superman II|Black Christmas;Margie
787;Rachel Nichols;38.0;70.0;0;1;0;1;0;G.I. Joe: The Rise of Cobra|The Amityville Horror|Star Trek;
788;Terry Crews;49.0;75.25;1;0;0;1;0;Cloudy with a Chance of Meatballs 2|Idiocracy|The Expendables;Terry Crews Jr.|Terry Alan Crews|Squeegee Lo
789;Guillermo del Toro;53.0;72.0;0;0;1;1;1;Pan's Labyrinth|Hellboy|The Shape of Water;Guillermo Del Toro|Guillo Tine Del Toro|Girerumo Deru Toro
790;Alan Tudyk;47.0;71.5;1;0;0;1;1;Rogue One: A Star Wars Story|Firefly|I, Robot;Wray Nerely
791;Joely Richardson;53.0;70.25;0;1;0;1;0;Nip/Tuck|Event Horizon|The Patriot;
792;Megan du Plessis;;;0;1;0;0;0;The Kissing Booth;
793;Katie Holmes;39.0;69.0;0;1;0;1;0;Batman Begins|Jack and Jill|Dawson's Creek;
794;Julianna Margulies;51.0;66.0;0;1;0;1;0;ER|Ghost Ship|Snakes on a Plane;Julianna|Jules
795;Kiki Sukezane;;61.0;0;1;0;0;0;Heroes Reborn|Lost in Space|Westworld;Kie Sukezane
796;Kiernan Shipka;18.0;62.0;0;1;0;0;0;Carriers|Mad Men|The Legend of Korra;Kiernan Brennan Shipka|Kiki Shipka
797;Miles Teller;31.0;72.0;1;0;0;1;0;Fantastic Four|The Spectacular Now|Whiplash;
798;Úrsula Corberó;28.0;64.25;0;1;0;0;0;Money Heist|Physical or Chemical|Cómo sobrevivir a una despedida;Ursula Corberó
799;Jessica Jade Andres;33.0;;0;1;0;1;1;Just Go with It|Gossip Girl|Liberator;Jessica Andres
800;Elizabeth Mitchell;48.0;69.0;0;1;0;0;0;Lost|Running Scared|Frequency;Liz
801;Kevin Smith;47.0;68.0;1;0;0;1;1;Clerks|Chasing Amy|Clerks II;Silent Bob|Kevin|Kev
802;Dacre Montgomery;;70.0;1;0;0;0;0;Stranger Things|Power Rangers|Better Watch Out;
803;Demi Moore;55.0;65.0;0;1;1;1;0;G.I. Jane|Indecent Proposal|Charlie's Angels: Full Throttle;Demi Kutcher|Gimme Moore
804;Ruth Wilson;36.0;66.0;0;1;0;1;0;Locke|Saving Mr. Banks|Luther;
805;Jenna Coleman;32.0;62.0;0;1;0;0;0;Victoria|Room at the Top|Captain America: The First Avenger;Jenna Louise Coleman|Jenna-Louise Coleman|Jen
806;Rhona Mitra;41.0;66.0;0;1;0;0;0;Underworld: Rise of the Lycans|Doomsday|The Life of David Gale;Rhona N. Mitra|Rona Mitra
807;Gina Gershon;55.0;66.25;0;1;0;1;0;Bound|Showgirls|Killer Joe;
808;Lily Sullivan;;68.25;0;1;0;0;0;Mental|Jungle|Camp;
809;Leslie Bibb;43.0;69.0;0;1;0;1;0;Iron Man|Iron Man 2|Miss Nobody;Lesley Bibb|The Bibbster, Lulu
810;Martin Kove;;73.75;1;0;1;1;0;The Karate Kid|The Karate Kid Part III|The Karate Kid Part II;Marty Cove|Marty Kove
811;Lauren Holly;;65.0;0;1;0;1;0;Dumb and Dumber|Picket Fences|What Women Want;Holly Lauren
812;Adria Arjona;;67.0;0;1;0;0;0;Pacific Rim: Uprising|Emerald City|True Detective;
813;Emile Hirsch;33.0;66.0;1;0;0;0;0;Into the Wild|The Girl Next Door|Milk;Hirschy
814;Isabelle Fuhrman;21.0;63.0;0;1;0;0;1;Orphan|The Hunger Games|Hounddog;
815;Ariana Richards;38.0;66.0;0;1;0;0;0;Jurassic Park|Tremors|The Lost World: Jurassic Park;
816;Josh Hartnett;39.0;75.0;1;0;0;1;0;Lucky Number Slevin|30 Days of Night|The Black Dahlia;Joshua Hartnett
817;Audrey Fleurot;40.0;69.5;0;1;0;0;0;The Intouchables|Midnight in Paris|Spiral;
818;Arielle Kebbel;33.0;68.0;0;1;0;0;0;The Grudge 2|The Uninvited|John Tucker Must Die;
819;Analeigh Tipton;29.0;69.5;0;1;0;0;0;Two Night Stand|Manhattan Love Story|Crazy, Stupid, Love.;Analeigh
820;Denise Richards;47.0;66.0;0;1;0;1;0;The World Is Not Enough|Starship Troopers|Wild Things;Denise Lee Richards|Fluffy Girl
821;Odeya Rush;21.0;65.0;0;1;1;0;1;Goosebumps|The Giver|The Odd Life of Timothy Green;
822;Rebecca Rittenhouse;;64.5;0;1;0;0;0;Blood & Oil|Red Band Society|The Handmaid's Tale;
823;Meredith Hagner;31.0;66.0;0;1;0;0;0;Veep|Hits|Irrational Man;Meredith Kathleen Hagner
824;Hayden Christensen;37.0;72.0;1;0;0;1;0;Star Wars: Episode III - Revenge of the Sith|Star Wars: Episode II - Attack of the Clones|Jumper;Hayden Christiansen|Den|H
825;Audrey Hepburn;;67.0;0;1;0;0;0;Breakfast at Tiffany's|Charade|Roman Holiday;Audrey|Edda van Heemstra
826;Edward Norton;48.0;72.0;1;0;0;1;1;American History X|Primal Fear|Birdman or (The Unexpected Virtue of Ignorance);Edward Harrison|Ed Norton|Ed
827;Dane DeHaan;;68.25;1;0;0;0;0;Chronicle|Kill Your Darlings|The Amazing Spider-Man 2;Dane Dehaan
828;Eliza Dushku;37.0;65.0;0;1;0;1;0;Bring It On|Jay and Silent Bob Strike Back|The Alphabet Killer;Duck Shoot
829;Maggie Q;39.0;67.5;0;1;0;1;0;Divergent|Live Free or Die Hard|Mission: Impossible III;Ly My Ky|Mei-Kei Lei|Meiqi Li
830;Christopher Meloni;57.0;72.0;1;0;1;1;0;Man of Steel|Law & Order: Special Victims Unit|Sin City: A Dame to Kill For;Christopher P. Meloni|Chris Meloni|Reverend Clyde Stanky
831;Tilda Swinton;57.0;70.5;0;1;0;1;1;We Need to Talk About Kevin|The Grand Budapest Hotel|Doctor Strange;Swilda
832;Mads Mikkelsen;52.0;72.25;1;0;0;1;0;Hannibal|The Hunt|Doctor Strange;Mads|Mads D. Mikkelsen|Mads Dittmann Mikkelsen
833;Kevin Bacon;59.0;70.0;1;0;0;1;0;Footloose|Hollow Man|The Woodsman;The Bacon Brothers|Kevin Bacon III|the Bacon Brothers
834;Ben Foster;37.0;69.0;1;0;1;1;0;Hell or High Water|3:10 to Yuma|The Messenger;Goat Boy
835;Johnny Galecki;43.0;65.0;1;0;0;1;0;The Big Bang Theory|Roseanne|National Lampoon's Christmas Vacation;John Galecki
836;Logan Lerman;26.0;69.0;1;0;0;1;0;The Perks of Being a Wallflower|Fury|The Three Musketeers;Loggie
837;Selma Blair;45.0;64.0;0;1;0;1;0;Cruel Intentions|Hellboy|The Sweetest Thing;
838;Julia Stiles;37.0;67.0;0;1;1;0;1;10 Things I Hate About You|Save the Last Dance|Silver Linings Playbook;Julie Stiles
839;Mandy Moore;34.0;70.0;0;1;0;0;0;A Walk to Remember|Tangled|Saved!;Amanda Moore|Moore and Parker
840;Rob Lowe;54.0;71.0;1;0;0;1;0;St. Elmo's Fire|The Outsiders|Wayne's World;
841;Brittany Snow;32.0;64.0;0;1;0;1;0;Pitch Perfect|Hairspray|Pitch Perfect 2;Britt
842;John Cusack;51.0;74.0;1;0;0;1;1;Grosse Pointe Blank|High Fidelity|Say Anything...;John Cusak|Johnny
843;Charlotte Riley;36.0;65.0;0;1;0;0;0;In the Heart of the Sea|Edge of Tomorrow|Entity;
844;Sam Neill;70.0;71.75;1;0;1;0;1;Hunt for the Wilderpeople|Jurassic Park|Jurassic Park III;John Dermot
845;Melora Hardin;50.0;67.0;0;1;0;1;0;17 Again|Hannah Montana: The Movie|The Office;
846;Kelly McGillis;60.0;70.0;0;1;0;1;0;Witness|Top Gun|The Accused;
847;Catherine Zeta-Jones;48.0;67.0;0;1;0;0;0;Chicago|Entrapment|The Mask of Zorro;Catherine Zeta Jones
848;Michael Keaton;66.0;69.0;1;0;0;1;0;Birdman or (The Unexpected Virtue of Ignorance)|Spotlight|The Founder;Michael John Douglas|Michael Douglas|Michael Douglas
849;Tanner Buchanan;;68.5;1;0;0;0;0;Designated Survivor|Grey's Anatomy|The Fosters;
850;Daniel Day-Lewis;61.0;74.0;1;0;0;0;0;There Will Be Blood|The Last of the Mohicans|Gangs of New York;Daniel Day Lewis|DDL
851;Sasha Pieterse;22.0;66.0;0;1;0;1;0;Inherent Vice|Pretty Little Liars|X-Men: First Class;
852;Jude Law;45.0;70.0;1;0;0;1;0;The Talented Mr. Ripley|The Grand Budapest Hotel|Sky Captain and the World of Tomorrow;
853;Jena Malone;33.0;65.0;0;1;0;1;0;Contact|The Hunger Games: Mockingjay - Part 2|The Neon Demon;Debbie Malone
854;Christoph Waltz;61.0;67.0;1;0;1;0;0;Django Unchained|Inglourious Basterds|The Zero Theorem;Christopher Waltz
855;Naomi Scott;25.0;65.75;0;1;0;0;0;Power Rangers|The 33|Aladdin;Nay
856;Nick Offerman;47.0;71.0;1;0;0;1;0;Parks and Recreation|The Founder|Fargo;George W. Bush|Brad Pitt|John Swartzwelder
857;Gwendoline Christie;39.0;75.0;0;1;0;1;0;Star Wars: Episode VII - The Force Awakens|Star Wars: The Last Jedi|Game of Thrones;
858;Brianne Davis;;67.5;0;1;1;1;0;Six|Jarhead|Synchronicity;
859;David Cross;54.0;68.0;1;0;0;1;1;Arrested Development|Eternal Sunshine of the Spotless Mind|Megamind;Sir Willups Brightslymoore|Crossy
860;Katherine McNamara;22.0;65.0;0;1;0;0;0;Shadowhunters: The Mortal Instruments|Maze Runner: The Death Cure|R.L. Stine's Monsterville: The Cabinet of Souls;Kat McNamara|Katie-Mac|Kat
861;Eddie Murphy;57.0;69.0;1;0;0;1;1;The Nutty Professor|Dreamgirls|Coming to America;Fred Braughton|Edward 'Eddie' Regan Murphy|Ed
862;Kit Harington;31.0;68.0;1;0;0;1;1;Game of Thrones|Pompeii|How to Train Your Dragon 2;
863;JoAnna Garcia Swisher;38.0;65.0;0;1;0;0;0;Not Another Teen Movie|Reba|The Internship;JoAnna Garcia|Joanna Garcia|Joanna Garcia-Swisher
864;Rainn Wilson;52.0;74.5;1;0;0;1;0;The Office|Super|My Super Ex-Girlfriend;
865;Garrett Hedlund;33.0;74.5;1;0;0;1;0;TRON: Legacy|Mudbound|On the Road;
866;Lili Simmons;24.0;67.0;0;1;0;0;0;Banshee|True Detective|Bone Tomahawk;
867;Meredith Monroe;;66.0;0;1;0;0;0;Dawson's Creek|Minority Report|Transformers: Dark of the Moon;Meridith Monroe|Meredith Munroe
868;Caleb Landry Jones;28.0;71.0;1;0;0;0;0;X-Men: First Class|Three Billboards Outside Ebbing, Missouri|Get Out;Caleb Jones
869;Nathalie Emmanuel;29.0;67.0;0;1;0;1;0;Furious 7|Maze Runner: The Scorch Trials|Maze Runner: The Death Cure;Laetitia Vaval
870;Garret Dillahunt;;74.0;1;0;1;0;0;12 Years a Slave|Deadwood|No Country for Old Men;
871;Finn Cole;;67.75;1;0;0;0;0;Animal Kingdom|Peaky Blinders|An Inspector Calls;
872;Lucy Lawless;50.0;69.5;0;1;0;1;0;Xena: Warrior Princess|Spartacus: War of the Damned|Spider-Man;Unco, short for Uncoordinated|Luce|LL
873;Topher Grace;39.0;70.75;1;0;0;1;0;Spider-Man 3|That '70s Show|In Good Company;Christopher Grace
874;Kathryn Morris;49.0;67.0;0;1;0;0;0;Minority Report|Mindhunters|Cold Case;Kathy Morris
875;Holly Hunter;60.0;62.0;0;1;0;1;0;The Piano|Thirteen|The Big Sick;
876;Danneel Ackles;39.0;67.0;0;1;0;0;0;Harold & Kumar Escape from Guantanamo Bay|Ten Inch Hero|The Back-up Plan;Danneel Graul|Danneel Harris
877;Tom Selleck;73.0;75.5;1;0;0;1;1;Blue Bloods|Magnum, P.I.|In & Out;
878;Orlando Bloom;41.0;71.0;1;0;0;1;0;The Lord of the Rings: The Fellowship of the Ring|Pirates of the Caribbean: The Curse of the Black Pearl|The Lord of the Rings: The Return of the King;Orli|OB
879;Nathalie Kelley;33.0;66.0;0;1;0;0;0;The Fast and the Furious: Tokyo Drift|Take Me Home Tonight|The Vampire Diaries;
880;Ridley Scott;80.0;68.5;0;0;1;1;0;The Martian|Thelma & Louise|Gladiator;Sir Ridley Scott|R-Scott|Rid
881;Jack Black;48.0;66.0;1;0;0;1;0;School of Rock|Nacho Libre|Kung Fu Panda;Tenacious D|JB|Jables
882;Gina Torres;49.0;70.0;0;1;0;1;0;Serenity|Matrix Revolutions|The Matrix Reloaded;Gena Tores|Gina Tores|Gena Torres
883;David Fincher;55.0;72.5;1;0;1;1;0;Se7en|The Social Network|Gone Girl;Dave Fincher|Fincher|Finch
884;Ben Stiller;52.0;67.0;1;0;0;1;1;Zoolander|Tropic Thunder|The Secret Life of Walter Mitty;Benjamin Stiller|Benji Stiller
